model_selector,segment,TOTHH,construc,manufac,tcu,wholesl,retail,fire,service,agnr,govt,k8_enroll,highschool_enroll,lg_college,small_coll,ADJ_construc,ADJ_manufac,ADJ_tcu,ADJ_wholesl,ADJ_retail,ADJ_fire,ADJ_service,ADJ_agnr,ADJ_govt
workplace,work_low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16454,0.11886,0.15519,0.11687,0.23311,0.12171,0.24026,0.17045,0.16843
workplace,work_med,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
workplace,work_high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86427,0.97013,0.80675,1.16572,0.82619,1.51291,1.03712,0.67405,1.41088
school,university,0,0,0,0,0,0,0,0,0,0,0,0,0.592,0.408,0,0,0,0,0,0,0,0,0
school,gradeschool,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
school,highschool,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
non_mandatory,escort,0,0,0,0,0,0.225,0,0.144,0,0.144,0.465,0.166,0,0,0,0,0,0,0,0,0,0,0
non_mandatory,shopping,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
non_mandatory,eatout,0,0,0,0,0,0.742,0,0.258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
non_mandatory,othmaint,0,0,0,0,0,0.482,0,0.518,0,0.518,0,0,0,0,0,0,0,0,0,0,0,0,0
non_mandatory,social,0,0,0,0,0,0.522,0,0.478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
non_mandatory,othdiscr,0.252,0,0,0,0,0.212,0,0.272,0,0,0,0.098,0,0,0,0,0,0,0,0,0,0,0
atwork,atwork,0,0,0,0,0,0.742,0,0.258,0,0.258,0,0,0,0,0,0,0,0,0,0,0,0,0
trip,work,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trip,escort,0.001,0,0,0,0,0.225,0,0.144,0,0,0.464,0.166,0,0,0,0,0,0,0,0,0,0,0
trip,shopping,0.001,0,0,0,0,0.999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trip,eatout,0.001,0,0,0,0,0.742,0,0.258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trip,othmaint,0.001,0,0,0,0,0.481,0,0.518,0,0.518,0,0,0,0,0,0,0,0,0,0,0,0,0
trip,social,0.001,0,0,0,0,0.521,0,0.272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trip,othdiscr,0.252,0,0,0.165,0.165,0.212,0,0,0,0,0,0.098,0,0,0,0,0,0,0,0,0,0,0
trip,univ,0.001,0,0,0,0,0,0,0,0,0,0,0,0.592,0.408,0,0,0,0,0,0,0,0,0
