coefficient_name,value,constrain
coef_mode_logsum,0.6755,F
coef_escort_dist_0_2,-0.1499,F
coef_eatout_dist_0_2,-0.5609,F
coef_social_dist_0_2,-0.5609,F
coef_othdiscr_dist_0_2,-0.1677,F
coef_escort_dist_2_5,-0.8671,F
coef_shopping_dist_2_5,-0.5655,F
coef_eatout_dist_2_5,-0.3192,F
coef_othmaint_dist_2_5,-0.6055,F
coef_social_dist_2_5,-0.3485,F
coef_othdiscr_dist_2_5,-0.4955,F
coef_escort_dist_5_plus,-0.2137,F
coef_shopping_dist_5_plus,-0.1832,F
coef_eatout_dist_5_plus,-0.1238,F
coef_othmaint_dist_5_plus,-0.1093,F
coef_social_dist_5_plus,-0.1306,F
coef_othdiscr_dist_5_plus,-0.1193,F
ASC_escort_dist_0_1,1.5405,F
ASC_escort_dist_1_2,0.0133,F
ASC_escort_dist_2_5,-0.1381,F
ASC_escort_dist_5_plus,-0.3933,F
ASC_main_dist_0_1,1.7699,F
ASC_main_dist_1_2,0.217,F
ASC_main_dist_2_5,0.1687,F
ASC_main_dist_5_10,-0.1469,F
ASC_main_dist_10_plus,-0.6151,F
ASC_disc_dist_0_1,2.0936,F
ASC_disc_dist_1_2,0.5142,F
ASC_disc_dist_2_5,0.271,F
ASC_disc_dist_5_10,-0.285,F
ASC_disc_dist_10_plus,-0.9377,F
ASC_main_dest_Chicago,-0.140721138,F
ASC_disc_dest_Chicago,-0.23541381,F
