tour_purpose,time_period,start,end
work,VE,4,6
work,EA,8,8
work,AM,9,9
work,MM,13,13
work,MD,22,15
work,AF,26,23
work,PM,30,27
work,EV,31,31
work,NT,35,38
school,VE,6,6
school,EA,8,8
school,AM,11,10
school,MM,14,13
school,MD,19,18
school,AF,26,26
school,PM,27,27
school,EV,31,31
school,NT,35,36
univ,VE,6,6
univ,EA,8,8
univ,AM,12,10
univ,MM,13,13
univ,MD,22,15
univ,AF,24,25
univ,PM,29,29
univ,EV,31,31
univ,NT,37,35
shopping,VE,1,6
shopping,EA,7,8
shopping,AM,12,12
shopping,MM,14,13
shopping,MD,22,17
shopping,AF,23,23
shopping,PM,27,27
shopping,EV,33,31
shopping,NT,35,35
escort,VE,6,6
escort,EA,8,8
escort,AM,11,10
escort,MM,13,13
escort,MD,18,18
escort,AF,26,24
escort,PM,30,28
escort,EV,31,31
escort,NT,35,35
othmaint,VE,1,6
othmaint,EA,8,8
othmaint,AM,12,11
othmaint,MM,14,13
othmaint,MD,19,15
othmaint,AF,26,26
othmaint,PM,27,28
othmaint,EV,31,31
othmaint,NT,35,35
othdiscr,VE,6,6
othdiscr,EA,8,7
othdiscr,AM,11,11
othdiscr,MM,14,13
othdiscr,MD,17,15
othdiscr,AF,26,26
othdiscr,PM,30,30
othdiscr,EV,34,31
othdiscr,NT,36,35
social,VE,3,6
social,EA,8,8
social,AM,9,10
social,MM,13,13
social,MD,19,15
social,AF,26,26
social,PM,30,30
social,EV,34,31
social,NT,38,35
eatout,VE,6,6
eatout,EA,8,8
eatout,AM,10,11
eatout,MM,14,13
eatout,MD,22,18
eatout,AF,23,25
eatout,PM,30,30
eatout,EV,33,31
eatout,NT,36,35
atwork,VE,5,6
atwork,EA,7,7
atwork,AM,12,12
atwork,MM,14,14
atwork,MD,21,19
atwork,AF,23,23
atwork,PM,28,28
atwork,EV,31,31
atwork,NT,35,35
