Label,Description,Expression,DRIVEALONE,SHAREDRIDE2,SHAREDRIDE3,WALK,BIKE,WALK_TRANSIT,PNR_TRANSIT,KNR_TRANSIT,TNC_TRANSIT,TAXI,TNC_SINGLE,TNC_SHARED,SCHBUS
#,Drive alone no toll,,,,,,,,,,,,,,
util_DRIVEALONE_Unavailable,DRIVEALONE - Unavailable,sov_available == False,-999,,,,,,,,,,,,
util_DRIVEALONE_Unavailable_for_zero_auto_households,DRIVEALONE - Unavailable for zero auto households,auto_ownership == 0,-999,,,,,,,,,,,,
util_DRIVEALONE_Unavailable_for_persons_less_than_16,DRIVEALONE - Unavailable for persons less than 16,age < 16,-999,,,,,,,,,,,,
util_DRIVEALONE_Unavailable_for_joint_tours,DRIVEALONE - Unavailable for joint tours,is_joint == True,-999,,,,,,,,,,,,
util_DRIVEALONE_Unavailable_if_didn't_drive_to_work,DRIVEALONE - Unavailable if didn't drive to work,is_atwork_subtour & ~work_tour_is_SOV,-999,,,,,,,,,,,,
util_DRIVEALONE_In_vehicle_time,DRIVEALONE - In-vehicle time,@(df.da_time_skims_out + df.da_time_skims_inb) * df.time_factor,coef_ivt,,,,,,,,,,,,
util_DRIVEALONE_Terminal_time,DRIVEALONE - Terminal time,@2 * df.terminal_time * df.time_factor,coef_walktime,,,,,,,,,,,,
util_DRIVEALONE_Operating_cost,DRIVEALONE - Operating cost,"@costPerMile * (df.da_dist_skims_out + df.da_dist_skims_inb)/(np.maximum(df.income,1000)**df.income_exponent)",coef_inc_adj_cost,,,,,,,,,,,,
util_DRIVEALONE_Parking_cost,DRIVEALONE - Parking cost,"@df.daily_parking_cost/(np.maximum(df.income,1000)**df.income_exponent)",coef_inc_adj_cost,,,,,,,,,,,,
util_DRIVEALONE_Toll,DRIVEALONE - Toll,"@(df.da_cost_skims_out + df.da_cost_skims_inb) * 100/(np.maximum(df.income,1000)**df.income_exponent)",coef_inc_adj_cost,,,,,,,,,,,,
util_DRIVEALONE_Person_is_between_16_and_19_years_old,DRIVEALONE - Person is between 16 and 19 years old,@(df.age >= 16) & (df.age <= 19),coef_age1619_da,,,,,,,,,,,,
#,shared ride 2,,,,,,,,,,,,,,
util_SHAREDRIDE2_Unavailable,SHAREDRIDE2 - Unavailable,hov2_available == False,,-999,,,,,,,,,,,
util_SHAREDRIDE2_Unavailable_based_on_party_size,SHAREDRIDE2 - Unavailable based on party size,is_joint & (number_of_participants > 2),,-999,,,,,,,,,,,
util_SHAREDRIDE2_In_vehicle_time,SHAREDRIDE2 - In-vehicle time,@(df.s2_time_skims_out + df.s2_time_skims_inb) * df.time_factor,,coef_ivt,,,,,,,,,,,
util_SHAREDRIDE2_Terminal_time,SHAREDRIDE2- Terminal time,@2 * df.terminal_time * df.time_factor,,coef_walktime,,,,,,,,,,,
util_SHAREDRIDE2_Operating_cost,SHAREDRIDE2 - Operating cost,"@costPerMile * (df.s2_dist_skims_out + df.s2_dist_skims_inb)/(np.maximum(df.income,1000)**df.income_exponent)",,coef_inc_adj_cost,,,,,,,,,,,
util_SHAREDRIDE2_Parking_cost,SHAREDRIDE2 - Parking cost,"@df.daily_parking_cost / costShareSr2/(np.maximum(df.income,1000)**df.income_exponent)",,coef_inc_adj_cost,,,,,,,,,,,
util_SHAREDRIDE2_Toll,SHAREDRIDE2 - Toll,"@(df.s2_cost_skims_out + df.s2_cost_skims_inb) * 100 / costShareSr2/(np.maximum(df.income,1000)**df.income_exponent)",,coef_inc_adj_cost,,,,,,,,,,,
util_SHAREDRIDE2_One_person_household,SHAREDRIDE2 - One person household,@(df.hhsize == 1),,coef_hhsize1_sr,,,,,,,,,,,
util_SHAREDRIDE2_Two_person_household,SHAREDRIDE2 - Two person household,@(df.hhsize == 2),,coef_hhsize2_sr,,,,,,,,,,,
util_SHAREDRIDE2_Person_is_16_years_old_or_older,SHAREDRIDE2 - Person is 16 years old or older,@(df.age >= 16),,coef_age16p_sr,,,,,,,,,,,
#,Shared ride 3+,,,,,,,,,,,,,,
util_SHAREDRIDE3_Unavailable,SHAREDRIDE3 - Unavailable,hov3_available == False,,,-999,,,,,,,,,,
util_SHAREDRIDE3_In_vehicle_time,SHAREDRIDE3 - In-vehicle time,@(df.s3_time_skims_out + df.s3_time_skims_inb) * df.time_factor,,,coef_ivt,,,,,,,,,,
util_SHAREDRIDE3_Terminal_time,SHAREDRIDE3 - Terminal time,@2 * df.terminal_time * df.time_factor,,,coef_walktime,,,,,,,,,,
util_SHAREDRIDE3_Operating_cost,SHAREDRIDE3 - Operating cost,"@costPerMile * (df.s3_dist_skims_out + df.s3_dist_skims_inb)/(np.maximum(df.income,1000)**df.income_exponent)",,,coef_inc_adj_cost,,,,,,,,,,
util_SHAREDRIDE3_Parking_cost,SHAREDRIDE3 - Parking cost,"@df.daily_parking_cost / costShareSr3/(np.maximum(df.income,1000)**df.income_exponent)",,,coef_inc_adj_cost,,,,,,,,,,
util_SHAREDRIDE3_Toll,SHAREDRIDE3 - Toll,"@(df.s3_cost_skims_out + df.s3_cost_skims_inb) * 100 / costShareSr3/(np.maximum(df.income,1000)**df.income_exponent)",,,coef_inc_adj_cost,,,,,,,,,,
util_SHAREDRIDE3_One_person_household,SHAREDRIDE3 - One person household,@(df.hhsize == 1),,,coef_hhsize1_sr,,,,,,,,,,
