coefficient_name,value,constrain
coef_one,1,T
coef_nest_root,1,T
coef_nest_AUTO,0.72,T
coef_nest_NONMOTORIZED,0.72,T
coef_nest_RIDEHAIL,0.72,T
coef_nest_SCHOOL_BUS,0.72,T
coef_nest_TRANSIT,0.72,T
CTArail_ASC_eatout,0,T
Express_bus_ASC_eatout,0,T
Metrarail_ASC_eatout,0,T
bike_ASC_auto_deficient_eatout,-0.26918292,F
bike_ASC_auto_sufficient_eatout,-1.206966132,F
bike_ASC_no_auto_eatout,2.717122832,F
coef_age010_trn_eatout,0,T
coef_age1619_da_eatout,0,T
coef_age16p_sr_eatout,0.344,F
coef_biketime_disc,-0.0572,F
coef_density_index_disc,0.0558,F
coef_dtim_disc,-0.035,F
coef_hhsize1_sr_eatout,-0.355,F
coef_hhsize2_sr_eatout,-0.575,F
coef_inc_adj_cost_disc,-0.123,F
coef_ivt_disc,-0.0175,F
coef_walktime_disc,-0.042,F
coef_iwait_disc,-0.0262,F
coef_xwait_disc,-0.035,T
wlktrn_metra_distpen_disc,-4.725,T
drvtrn_distpen_disc,-4.725,T
joint_bike_ASC_auto_deficient_all,-13.89433475,F
joint_bike_ASC_auto_sufficient_all,-5.867621355,F
joint_bike_ASC_no_auto_all,6.809241726,F
joint_knr_transit_ASC_auto_deficient_all,-9.731447091,F
joint_knr_transit_ASC_auto_sufficient_all,-4.154318903,F
joint_knr_transit_ASC_no_auto_all,9.889226522,F
joint_pnr_transit_ASC_auto_deficient_all,-10.24094229,F
joint_pnr_transit_ASC_auto_sufficient_all,-4.021531663,F
joint_pnr_transit_ASC_no_auto_all,5.276149205,F
#joint_sr2_ASC_auto_deficient_all,0,F
#joint_sr2_ASC_auto_sufficient_all,0,F
#joint_sr2_ASC_no_auto_all,0,F
joint_sr3p_ASC_auto_deficient_all,-13.64256998,F
joint_sr3p_ASC_auto_sufficient_all,-4.456706338,F
joint_sr3p_ASC_no_auto_all,4.329654971,F
joint_taxi_ASC_auto_deficient_all,-15.15448983,F
joint_taxi_ASC_auto_sufficient_all,-6.782264238,F
joint_taxi_ASC_no_auto_all,-7.31,F
joint_tnc_shared_ASC_auto_deficient_all,-16.24948212,F
joint_tnc_shared_ASC_auto_sufficient_all,-7.425966726,F
joint_tnc_shared_ASC_no_auto_all,6.897182546,F
joint_tnc_single_ASC_auto_deficient_all,-13.93340373,F
joint_tnc_single_ASC_auto_sufficient_all,-7.915943691,F
joint_tnc_single_ASC_no_auto_all,5.805869418,F
joint_tnc_transit_ASC_auto_deficient_all,-10.67327873,F
joint_tnc_transit_ASC_auto_sufficient_all,-4.131689654,F
joint_tnc_transit_ASC_no_auto_all,10.63149827,F
joint_walk_ASC_auto_deficient_all,-6.133576727,F
joint_walk_ASC_auto_sufficient_all,-1.076099371,F
joint_walk_ASC_no_auto_all,14.63994186,F
joint_walk_transit_ASC_auto_deficient_all,-9.576333102,F
joint_walk_transit_ASC_auto_sufficient_all,-4.299356452,F
joint_walk_transit_ASC_no_auto_all,11.04716889,F
knr_transit_ASC_auto_deficient_eatout,-999,T
knr_transit_ASC_auto_sufficient_eatout,-999,T
knr_transit_ASC_no_auto_eatout,-999,T
knr_transit_CBD_ASC_eatout,0,T
pnr_transit_ASC_auto_deficient_eatout,-999,T
pnr_transit_ASC_auto_sufficient_eatout,-999,T
pnr_transit_ASC_no_auto_eatout,-999,T
