coefficient_name,value,constrain
coef_UNAVAILABLE,-999,T
coef_one,1,T
coef_mode_choice_logsum,1.821,F
coef_distance_joint,-0.119676377,F
coef_util_distance_work_outbound,-0.03170928,F
coef_util_distance_work_inbound,0.147813279,F
coef_util_distance_univ,-0.06831085,F
coef_util_distance_school,-0.065223529,F
coef_util_distance_escort,-0.108901471,F
coef_util_distance_shopping,-0.086793381,F
coef_util_distance_eatout,-0.078265042,F
coef_util_distance_othmaint,-0.070046336,F
coef_util_distance_social,-0.101082839,F
coef_util_distance_othdiscr,-0.095965738,F
coef_util_distance_atwork,-0.088320557,F
coef_prox_home_outbound_work,-0.38,F
coef_prox_home_inbound_work,-0.15,F
coef_prox_dest_outbound_work,-0.26,F
coef_ood_work_0_1,1.211430375,F
coef_ood_work_1_2,0.321087632,F
coef_ood_univ_0_1,3.838487448,F
coef_ood_univ_1_2,1.342322853,F
coef_ood_school_0_1,3.121356384,F
coef_ood_school_1_2,0.947764252,F
coef_ood_escort_0_1,2.129163384,F
coef_ood_escort_1_2,1.021075236,F
coef_ood_imaint_0_1,1.795741328,F
coef_ood_imaint_1_2,0.981900712,F
coef_ood_idisc_0_1,1.932575197,F
coef_ood_idisc_1_2,0.871340859,F
coef_ood_jmaint_0_1,0.821425267,F
coef_ood_jmaint_1_2,0.999703718,F
coef_ood_jdisc_0_1,1.726213853,F
coef_ood_jdisc_1_2,0.409880094,F
coef_ood_atwork_0_1,0.101140394,F
coef_ood_atwork_1_2,0.540394823,F
coef_ood_imaint_2_4,1.039756004,F
coef_ood_idisc_2_4,0.983425886,F
coef_ood_imaint_6_up,-0.626418508,F
coef_ood_idisc_6_up,-0.626205723,F
