coefficient_name,value,constrain
coef_dist_0_1,-0.8428,F
coef_dist_1_2,-0.3104,F
coef_dist_2_5,-0.3783,F
coef_dist_5_15,-0.1285,F
coef_dist_15_up,-0.0917,F
coef_dist_0_5_high,0.15,F
coef_dist_5_up_high,0.02,F
coef_mode_logsum,0.3,F
# distance calibration,,
dist_0_5_ASC,0.626498548,F
dist_5_10_ASC,0.394500548,F
dist_10_15_ASC,0.162318833,F
dist_15_20_ASC,0.012196002,F
dist_20_50_ASC,-0.211372391,F
dist_50_up_ASC,-1.528931365,F
dist_0_3_CBD_ASC,-2.085949975,F
dist_3_5_CBD_ASC,-1.184546873,F
dist_5_10_CBD_ASC,-0.544620833,F
dist_10_15_CBD_ASC,-0.437817194,F
dist_15_25_CBD_ASC,0.045961688,F
dist_25_50_CBD_ASC,0.837537192,F
# Calibration,,
coef_COOK_COOK_asc,-0.09855521,F
coef_COOK_DUPAGE_asc,-0.049759547,F
coef_COOK_LAKE_IL_asc,0.047623535,F
coef_COOK_LAKE_IN_asc,-0.945791396,F
coef_COOK_WILL_asc,0.157904273,F
coef_DUPAGE_COOK_asc,-0.094296844,F
coef_DUPAGE_DUPAGE_asc,0.191434923,F
coef_DUPAGE_KANE_asc,-0.283572643,F
coef_DUPAGE_WILL_asc,-0.321528276,F
coef_KANE_DUPAGE_asc,-0.162815784,F
coef_KANE_KANE_asc,0.485992729,F
coef_KENOSHA_LAKE_IL_asc,0.362814631,F
coef_KENOSHA_RACINE_asc,-0.748522446,F
coef_LAKE_IL_COOK_asc,-0.160102448,F
coef_LAKE_IL_KENOSHA_asc,-1.293270942,F
coef_LAKE_IL_LAKE_IL_asc,0.41156917,F
coef_LAKE_IL_MCHENRY_asc,-0.512152124,F
coef_MCHENRY_COOK_asc,-0.004599896,F
coef_MCHENRY_MCHENRY_asc,0.634826728,F
coef_PORTER_LAKE_IN_asc,0.252616936,F
coef_PORTER_PORTER_asc,0.167378988,F
coef_WINNEBAGO_WINNEBAGO_asc,-0.335167235,F
coef_DEKALB_DEKALB_asc,0.353352199,F
coef_KANE_COOK_asc,-0.404811116,F
coef_KANKAKEE_COOK_asc,-0.793290112,F
coef_KANKAKEE_KANKAKEE_asc,0.361502886,F
coef_KENDALL_KENDALL_asc,0.670451624,F
coef_KENOSHA_KENOSHA_asc,0.235956445,F
coef_LAKE_IL_DUPAGE_asc,-0.486546903,F
coef_LAKE_IN_COOK_asc,-0.462722242,F
coef_LAKE_IN_LAKE_IN_asc,0.387958031,F
coef_MCHENRY_LAKE_IL_asc,-0.273609721,F
coef_PORTER_COOK_asc,-0.559567681,F
coef_RACINE_LAKE_IL_asc,-0.713540637,F
coef_RACINE_RACINE_asc,0.136521105,F
coef_WALWORTH_WALWORTH_asc,0.271168262,F
coef_WILL_COOK_asc,-0.278524169,F
coef_WILL_KANE_asc,-0.807077647,F
coef_WILL_WILL_asc,0.487890529,F
