tour_purpose,time_period,start,end
work,VE,2,3
work,EA,4,4
work,AM,5,5
work,MM,7,7
work,MD,11,8
work,AF,13,12
work,PM,15,14
work,EV,16,16
work,NT,18,19
school,VE,3,3
school,EA,4,4
school,AM,6,5
school,MM,7,7
school,MD,10,10
school,AF,13,13
school,PM,14,14
school,EV,16,16
school,NT,18,18
univ,VE,3,3
univ,EA,4,4
univ,AM,6,5
univ,MM,7,7
univ,MD,11,8
univ,AF,12,13
univ,PM,15,15
univ,EV,16,16
univ,NT,19,18
shopping,VE,1,3
shopping,EA,4,4
shopping,AM,6,6
shopping,MM,7,7
shopping,MD,9,8
shopping,AF,12,12
shopping,PM,14,14
shopping,EV,17,16
shopping,NT,18,18
escort,VE,3,3
escort,EA,4,4
escort,AM,6,6
escort,MM,7,7
escort,MD,9,9
escort,AF,13,13
escort,PM,15,14
escort,EV,16,16
escort,NT,18,18
othmaint,VE,1,3
othmaint,EA,4,4
othmaint,AM,6,6
othmaint,MM,7,7
othmaint,MD,10,8
othmaint,AF,13,13
othmaint,PM,14,14
othmaint,EV,16,16
othmaint,NT,18,18
othdiscr,VE,3,3
othdiscr,EA,4,4
othdiscr,AM,6,6
othdiscr,MM,7,7
othdiscr,MD,9,8
othdiscr,AF,12,13
othdiscr,PM,15,15
othdiscr,EV,17,16
othdiscr,NT,18,18
social,VE,2,3
social,EA,4,4
social,AM,5,5
social,MM,7,7
social,MD,11,10
social,AF,13,13
social,PM,15,15
social,EV,17,16
social,NT,19,18
eatout,VE,3,3
eatout,EA,4,4
eatout,AM,5,6
eatout,MM,7,7
eatout,MD,11,9
eatout,AF,12,13
eatout,PM,15,15
eatout,EV,17,16
eatout,NT,18,18
atwork,VE,3,3
atwork,EA,4,4
atwork,AM,6,6
atwork,MM,7,7
atwork,MD,11,10
atwork,AF,12,12
atwork,PM,14,14
atwork,EV,16,16
atwork,NT,18,18
