grouped_tour_mode,0,1,2,All
DRIVEALONE,7714.0,56648.0,986608.0,1050969.0
SHARED2,12991.0,48890.0,412069.0,473950.0
SHARED3,13194.0,40505.0,371250.0,424949.0
WALK,84003.0,57915.0,277749.0,419668.0
BIKE,9529.0,11463.0,28642.0,49634.0
WALK-TRANSIT,15063.0,8842.0,15369.0,39274.0
PNR-TRANSIT,21.0,157.0,1324.0,1502.0
KNR-TRANSIT,689.0,705.0,744.0,2138.0
TNC-TRANSIT,223.0,177.0,304.0,704.0
TAXI,2340.0,1512.0,7488.0,11339.0
TNC-REG,3946.0,3586.0,16473.0,24005.0
TNC-SHARED,4154.0,1305.0,9062.0,14520.0
SCHOOLBUS,0.0,0.0,0.0,0.0
All,153867.0,231705.0,2127082.0,2512652.0
