grouped_tour_mode,0,1,2,All
DRIVEALONE,9288.0,96502.0,1454487.0,1560277.0
SHARED2,25813.0,87005.0,949214.0,1062032.0
SHARED3,24826.0,91325.0,705938.0,822089.0
WALK,91932.0,45849.0,249244.0,387025.0
BIKE,10754.0,9131.0,24716.0,44600.0
WALK-TRANSIT,32642.0,10006.0,21646.0,64295.0
PNR-TRANSIT,297.0,191.0,2221.0,2709.0
KNR-TRANSIT,787.0,592.0,2183.0,3562.0
TNC-TRANSIT,399.0,182.0,500.0,1081.0
TAXI,7549.0,1671.0,18816.0,28036.0
TNC-REG,8571.0,6958.0,9927.0,25456.0
TNC-SHARED,4767.0,2214.0,5286.0,12267.0
SCHOOLBUS,0.0,0.0,0.0,0.0
All,217625.0,351626.0,3444178.0,4013429.0
