grouped_tour_mode,0,1,2,All
DRIVEALONE,25817.0,358784.0,4534743.0,4919343.0
SHARED2,45509.0,294819.0,2389273.0,2729599.0
SHARED3,47414.0,220680.0,1794385.0,2062480.0
WALK,246925.0,187292.0,781502.0,1215717.0
BIKE,35987.0,36508.0,85560.0,158058.0
WALK-TRANSIT,188223.0,132572.0,205671.0,526472.0
PNR-TRANSIT,2471.0,9778.0,94633.0,106883.0
KNR-TRANSIT,7012.0,13122.0,32883.0,53017.0
TNC-TRANSIT,2511.0,1841.0,4527.0,8880.0
TAXI,10736.0,7656.0,35480.0,53871.0
TNC-REG,19619.0,19955.0,35526.0,75099.0
TNC-SHARED,16667.0,6606.0,17997.0,41269.0
SCHOOLBUS,15083.0,40293.0,363663.0,419038.0
All,663974.0,1329906.0,10375843.0,12369726.0
