grouped_tour_mode,0,1,2,All
DRIVEALONE,0.0,5027.0,36003.0,41030.0
SHARED2,357.0,17653.0,165795.0,183804.0
SHARED3,4482.0,33781.0,345308.0,383571.0
WALK,10172.0,22692.0,118627.0,151491.0
BIKE,3399.0,1713.0,10531.0,15644.0
WALK-TRANSIT,4202.0,5773.0,11418.0,21394.0
PNR-TRANSIT,3.0,41.0,521.0,565.0
KNR-TRANSIT,117.0,652.0,2406.0,3175.0
TNC-TRANSIT,34.0,8.0,142.0,184.0
TAXI,119.0,516.0,3229.0,3864.0
TNC-REG,0.0,1147.0,1079.0,2226.0
TNC-SHARED,0.0,0.0,0.0,0.0
SCHOOLBUS,15083.0,40293.0,363663.0,419038.0
All,37968.0,129296.0,1058722.0,1225986.0
