grouped_tour_mode,0,1,2,All
DRIVEALONE,26153.0,368704.0,4626358.0,5021214.0
SHARED2,45701.0,297316.0,2392675.0,2735691.0
SHARED3,47415.0,221931.0,1795174.0,2064521.0
WALK,248935.0,190574.0,793075.0,1232583.0
BIKE,36352.0,36753.0,85751.0,158856.0
WALK-TRANSIT,168669.0,118564.0,181428.0,468661.0
PNR-TRANSIT,2168.0,8631.0,86591.0,97390.0
KNR-TRANSIT,6069.0,11236.0,29418.0,46723.0
TNC-TRANSIT,2178.0,1554.0,3975.0,7707.0
TAXI,10736.0,7655.0,35955.0,54347.0
TNC-REG,19618.0,20018.0,36058.0,75694.0
TNC-SHARED,16666.0,6607.0,17997.0,41269.0
SCHOOLBUS,15083.0,51056.0,363663.0,429802.0
All,645743.0,1340599.0,10448118.0,12434458.0
