grouped_tour_mode,0,1,2,All
DRIVEALONE,0.0,6376.0,88524.0,94900.0
SHARED2,394.0,4416.0,30271.0,35081.0
SHARED3,1253.0,1007.0,10039.0,12299.0
WALK,6155.0,2806.0,16245.0,25206.0
BIKE,779.0,219.0,1240.0,2238.0
WALK-TRANSIT,14138.0,7574.0,13756.0,35468.0
PNR-TRANSIT,71.0,326.0,2115.0,2512.0
KNR-TRANSIT,432.0,668.0,1794.0,2894.0
TNC-TRANSIT,119.0,40.0,235.0,394.0
TAXI,262.0,0.0,285.0,547.0
TNC-REG,767.0,318.0,106.0,1191.0
TNC-SHARED,0.0,0.0,785.0,785.0
SCHOOLBUS,0.0,0.0,0.0,0.0
All,24370.0,23750.0,165395.0,213515.0
