grouped_tour_mode,0,1,2,All
DRIVEALONE,2172.0,33789.0,330461.0,366422.0
SHARED2,1056.0,5869.0,44861.0,51786.0
SHARED3,143.0,9110.0,19625.0,28878.0
WALK,26785.0,34355.0,91225.0,152365.0
BIKE,1495.0,1505.0,2830.0,5830.0
WALK-TRANSIT,3707.0,2428.0,4332.0,10467.0
PNR-TRANSIT,71.0,309.0,2023.0,2402.0
KNR-TRANSIT,104.0,159.0,607.0,871.0
TNC-TRANSIT,64.0,108.0,163.0,335.0
TAXI,305.0,1980.0,2187.0,4472.0
TNC-REG,261.0,135.0,406.0,802.0
TNC-SHARED,0.0,1050.0,0.0,1050.0
SCHOOLBUS,0.0,0.0,0.0,0.0
All,36163.0,90797.0,498720.0,625680.0
