grouped_tour_mode,0,1,2,All
DRIVEALONE,7189.0,172470.0,1811350.0,1991009.0
SHARED2,6084.0,89303.0,400735.0,496122.0
SHARED3,2625.0,41305.0,180805.0,224735.0
WALK,24737.0,18968.0,20218.0,63923.0
BIKE,10144.0,12599.0,15543.0,38286.0
WALK-TRANSIT,92439.0,79752.0,108113.0,280303.0
PNR-TRANSIT,1685.0,7509.0,76374.0,85568.0
KNR-TRANSIT,3514.0,8093.0,21044.0,32651.0
TNC-TRANSIT,1307.0,1011.0,2566.0,4885.0
TAXI,407.0,1965.0,3664.0,6036.0
TNC-REG,5811.0,6878.0,7368.0,20057.0
TNC-SHARED,6474.0,1964.0,1346.0,9784.0
SCHOOLBUS,0.0,0.0,0.0,0.0
All,162416.0,441817.0,2649126.0,3253359.0
