grouped_tour_mode,auto_suff,tours,purpose
DRIVEALONE,0,26363.0,Total
SHARED2,0,46695.0,Total
SHARED3,0,47837.0,Total
WALK,0,251656.0,Total
BIKE,0,36352.0,Total
WALK-TRANSIT,0,168595.0,Total
PNR-TRANSIT,0,2168.0,Total
KNR-TRANSIT,0,6069.0,Total
TNC-TRANSIT,0,2178.0,Total
TAXI,0,10981.0,Total
TNC-REG,0,19618.0,Total
TNC-SHARED,0,16666.0,Total
SCHOOLBUS,0,15083.0,Total
All,0,650261.0,Total
DRIVEALONE,1,370812.0,Total
SHARED2,1,300823.0,Total
SHARED3,1,225192.0,Total
WALK,1,190854.0,Total
BIKE,1,36831.0,Total
WALK-TRANSIT,1,118512.0,Total
PNR-TRANSIT,1,8631.0,Total
KNR-TRANSIT,1,11236.0,Total
TNC-TRANSIT,1,1554.0,Total
TAXI,1,7729.0,Total
TNC-REG,1,20049.0,Total
TNC-SHARED,1,6607.0,Total
SCHOOLBUS,1,51056.0,Total
All,1,1349886.0,Total
DRIVEALONE,2,4707731.0,Total
SHARED2,2,2437184.0,Total
SHARED3,2,1820610.0,Total
WALK,2,797836.0,Total
BIKE,2,85951.0,Total
WALK-TRANSIT,2,181349.0,Total
PNR-TRANSIT,2,86591.0,Total
KNR-TRANSIT,2,29418.0,Total
TNC-TRANSIT,2,3975.0,Total
TAXI,2,36973.0,Total
TNC-REG,2,36189.0,Total
TNC-SHARED,2,17997.0,Total
SCHOOLBUS,2,364201.0,Total
All,2,10606005.0,Total
DRIVEALONE,All,5104906.0,Total
SHARED2,All,2784702.0,Total
SHARED3,All,2093638.0,Total
WALK,All,1240345.0,Total
BIKE,All,159134.0,Total
WALK-TRANSIT,All,468456.0,Total
PNR-TRANSIT,All,97390.0,Total
KNR-TRANSIT,All,46723.0,Total
TNC-TRANSIT,All,7707.0,Total
TAXI,All,55683.0,Total
TNC-REG,All,75856.0,Total
TNC-SHARED,All,41269.0,Total
SCHOOLBUS,All,430340.0,Total
All,All,12606149.0,Total
DRIVEALONE,0,7189.0,Work
SHARED2,0,6084.0,Work
SHARED3,0,2625.0,Work
WALK,0,24737.0,Work
BIKE,0,10144.0,Work
WALK-TRANSIT,0,94692.0,Work
PNR-TRANSIT,0,1717.0,Work
KNR-TRANSIT,0,3783.0,Work
TNC-TRANSIT,0,1314.0,Work
TAXI,0,407.0,Work
TNC-REG,0,5811.0,Work
TNC-SHARED,0,6474.0,Work
SCHOOLBUS,0,0.0,Work
All,0,164977.0,Work
DRIVEALONE,1,172470.0,Work
SHARED2,1,89303.0,Work
SHARED3,1,41305.0,Work
WALK,1,18968.0,Work
BIKE,1,12599.0,Work
WALK-TRANSIT,1,80727.0,Work
PNR-TRANSIT,1,7584.0,Work
KNR-TRANSIT,1,8072.0,Work
TNC-TRANSIT,1,1010.0,Work
TAXI,1,1965.0,Work
TNC-REG,1,6878.0,Work
TNC-SHARED,1,1964.0,Work
SCHOOLBUS,1,0.0,Work
All,1,442845.0,Work
DRIVEALONE,2,1811350.0,Work
SHARED2,2,400735.0,Work
SHARED3,2,180805.0,Work
WALK,2,20218.0,Work
BIKE,2,15543.0,Work
WALK-TRANSIT,2,110237.0,Work
PNR-TRANSIT,2,77955.0,Work
KNR-TRANSIT,2,21365.0,Work
TNC-TRANSIT,2,2559.0,Work
TAXI,2,3664.0,Work
TNC-REG,2,7368.0,Work
TNC-SHARED,2,1346.0,Work
SCHOOLBUS,2,0.0,Work
All,2,2653145.0,Work
DRIVEALONE,All,1991009.0,Work
SHARED2,All,496122.0,Work
SHARED3,All,224735.0,Work
WALK,All,63923.0,Work
BIKE,All,38286.0,Work
WALK-TRANSIT,All,285657.0,Work
PNR-TRANSIT,All,87257.0,Work
KNR-TRANSIT,All,33219.0,Work
TNC-TRANSIT,All,4883.0,Work
TAXI,All,6036.0,Work
TNC-REG,All,20057.0,Work
TNC-SHARED,All,9784.0,Work
SCHOOLBUS,All,0.0,Work
All,All,3260968.0,Work
DRIVEALONE,0,0.0,University
SHARED2,0,394.0,University
SHARED3,0,1253.0,University
WALK,0,6155.0,University
BIKE,0,779.0,University
WALK-TRANSIT,0,14138.0,University
PNR-TRANSIT,0,71.0,University
KNR-TRANSIT,0,432.0,University
TNC-TRANSIT,0,119.0,University
TAXI,0,262.0,University
TNC-REG,0,767.0,University
TNC-SHARED,0,0.0,University
SCHOOLBUS,0,0.0,University
All,0,24370.0,University
DRIVEALONE,1,6376.0,University
SHARED2,1,4416.0,University
SHARED3,1,1007.0,University
WALK,1,2806.0,University
BIKE,1,219.0,University
WALK-TRANSIT,1,7574.0,University
PNR-TRANSIT,1,326.0,University
KNR-TRANSIT,1,668.0,University
TNC-TRANSIT,1,40.0,University
TAXI,1,0.0,University
TNC-REG,1,318.0,University
TNC-SHARED,1,0.0,University
SCHOOLBUS,1,0.0,University
All,1,23750.0,University
DRIVEALONE,2,88524.0,University
SHARED2,2,30271.0,University
SHARED3,2,10039.0,University
WALK,2,16245.0,University
BIKE,2,1240.0,University
WALK-TRANSIT,2,13756.0,University
PNR-TRANSIT,2,2115.0,University
KNR-TRANSIT,2,1794.0,University
TNC-TRANSIT,2,235.0,University
TAXI,2,285.0,University
TNC-REG,2,106.0,University
TNC-SHARED,2,785.0,University
SCHOOLBUS,2,0.0,University
All,2,165395.0,University
DRIVEALONE,All,94900.0,University
SHARED2,All,35081.0,University
SHARED3,All,12299.0,University
WALK,All,25206.0,University
BIKE,All,2238.0,University
WALK-TRANSIT,All,35468.0,University
PNR-TRANSIT,All,2512.0,University
KNR-TRANSIT,All,2894.0,University
TNC-TRANSIT,All,394.0,University
TAXI,All,547.0,University
TNC-REG,All,1191.0,University
TNC-SHARED,All,785.0,University
SCHOOLBUS,All,0.0,University
All,All,213515.0,University
DRIVEALONE,0,0.0,School
SHARED2,0,357.0,School
SHARED3,0,4482.0,School
WALK,0,10172.0,School
BIKE,0,3399.0,School
WALK-TRANSIT,0,3798.0,School
PNR-TRANSIT,0,3.0,School
KNR-TRANSIT,0,117.0,School
TNC-TRANSIT,0,38.0,School
TAXI,0,119.0,School
TNC-REG,0,0.0,School
TNC-SHARED,0,0.0,School
SCHOOLBUS,0,15083.0,School
All,0,37568.0,School
DRIVEALONE,1,5027.0,School
SHARED2,1,17653.0,School
SHARED3,1,33781.0,School
WALK,1,22692.0,School
BIKE,1,1713.0,School
WALK-TRANSIT,1,6085.0,School
PNR-TRANSIT,1,44.0,School
KNR-TRANSIT,1,618.0,School
TNC-TRANSIT,1,6.0,School
TAXI,1,516.0,School
TNC-REG,1,1147.0,School
TNC-SHARED,1,0.0,School
SCHOOLBUS,1,51056.0,School
All,1,140338.0,School
DRIVEALONE,2,36302.0,School
