grouped_linked_trip_mode,DRIVEALONE,SHARED2,SHARED3,WALK,BIKE,WALK-TRANSIT,PNR-TRANSIT,KNR-TRANSIT,TNC-TRANSIT,TAXI,TNC-REG,TNC-SHARED,SCHOOLBUS,All
DRIVEALONE,2653529.0,319617.0,110993.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3084139.0
SHARED2,0.0,1057860.0,213730.0,0.0,0.0,0.0,0.0,0.0,0.0,2249.0,5265.0,6014.0,0.0,1285118.0
SHARED3,0.0,0.0,879863.0,0.0,0.0,0.0,0.0,0.0,0.0,3031.0,523.0,1420.0,0.0,884837.0
WALK,41244.0,29771.0,26520.0,774920.0,0.0,35430.0,0.0,0.0,0.0,806.0,12683.0,6864.0,0.0,928238.0
BIKE,0.0,0.0,0.0,0.0,103408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103408.0
WALK-TRANSIT,0.0,0.0,0.0,0.0,0.0,99730.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99730.0
PNR-TRANSIT,0.0,0.0,0.0,0.0,0.0,0.0,4319.0,0.0,0.0,0.0,0.0,0.0,0.0,4319.0
KNR-TRANSIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5505.0,0.0,0.0,0.0,0.0,0.0,5505.0
TNC-TRANSIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1701.0,0.0,0.0,0.0,0.0,1701.0
TAXI,0.0,0.0,0.0,0.0,0.0,455.0,22.0,82.0,0.0,27208.0,7968.0,0.0,0.0,35735.0
TNC-REG,0.0,0.0,0.0,0.0,0.0,1694.0,256.0,514.0,257.0,0.0,32373.0,7258.0,0.0,42353.0
TNC-SHARED,0.0,0.0,0.0,0.0,0.0,1039.0,0.0,127.0,0.0,0.0,0.0,20336.0,0.0,21502.0
SCHOOLBUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,2694773.0,1407248.0,1231106.0,774920.0,103408.0,138348.0,4597.0,6229.0,1958.0,33294.0,58812.0,41892.0,0.0,6496584.0
