grouped_linked_trip_mode,DRIVEALONE,SHARED2,SHARED3,WALK,BIKE,WALK-TRANSIT,PNR-TRANSIT,KNR-TRANSIT,TNC-TRANSIT,TAXI,TNC-REG,TNC-SHARED,SCHOOLBUS,All
DRIVEALONE,4466222.0,1056355.0,392807.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5915384.0
SHARED2,0.0,1939593.0,452872.0,0.0,0.0,0.0,0.0,0.0,0.0,15425.0,3195.0,0.0,0.0,2411085.0
SHARED3,0.0,0.0,1427543.0,0.0,0.0,0.0,0.0,0.0,0.0,2665.0,4029.0,342.0,0.0,1434579.0
WALK,77824.0,55300.0,35630.0,910226.0,0.0,48228.0,0.0,0.0,0.0,1923.0,19410.0,3205.0,0.0,1151746.0
BIKE,0.0,0.0,0.0,0.0,118816.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118816.0
WALK-TRANSIT,0.0,0.0,0.0,0.0,0.0,156914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156914.0
PNR-TRANSIT,0.0,0.0,0.0,0.0,0.0,0.0,6719.0,0.0,0.0,0.0,0.0,0.0,0.0,6719.0
KNR-TRANSIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8371.0,0.0,0.0,0.0,0.0,0.0,8371.0
TNC-TRANSIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2452.0,0.0,0.0,0.0,0.0,2452.0
TAXI,0.0,0.0,0.0,0.0,0.0,1268.0,0.0,0.0,86.0,44912.0,62.0,936.0,0.0,47264.0
TNC-REG,0.0,0.0,0.0,0.0,0.0,2294.0,62.0,0.0,0.0,0.0,44469.0,11004.0,0.0,57829.0
TNC-SHARED,0.0,0.0,0.0,0.0,0.0,1641.0,0.0,0.0,0.0,0.0,0.0,18243.0,0.0,19884.0
SCHOOLBUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,4544046.0,3051248.0,2308852.0,910226.0,118816.0,210345.0,6781.0,8371.0,2538.0,64925.0,71165.0,33730.0,0.0,11331043.0
