grouped_linked_trip_mode,DRIVEALONE,SHARED2,SHARED3,WALK,BIKE,WALK-TRANSIT,PNR-TRANSIT,KNR-TRANSIT,TNC-TRANSIT,TAXI,TNC-REG,TNC-SHARED,SCHOOLBUS,All
DRIVEALONE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHARED2,0.0,543861.0,42183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339.0,0.0,0.0,586383.0
SHARED3,0.0,0.0,237735.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,71.0,0.0,0.0,237929.0
WALK,0.0,4803.0,2454.0,53315.0,0.0,3871.0,0.0,0.0,0.0,0.0,3074.0,0.0,0.0,67517.0
BIKE,0.0,0.0,0.0,0.0,3314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3314.0
WALK-TRANSIT,0.0,0.0,0.0,0.0,0.0,10315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10315.0
PNR-TRANSIT,0.0,0.0,0.0,0.0,0.0,0.0,354.0,0.0,0.0,0.0,0.0,0.0,0.0,354.0
KNR-TRANSIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,865.0,0.0,0.0,0.0,0.0,0.0,865.0
TNC-TRANSIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.0,0.0,0.0,0.0,0.0,257.0
TAXI,0.0,0.0,0.0,0.0,0.0,1135.0,0.0,0.0,0.0,2022.0,0.0,0.0,0.0,3157.0
TNC-REG,0.0,0.0,0.0,0.0,0.0,1484.0,0.0,0.0,0.0,0.0,4624.0,1249.0,0.0,7357.0
TNC-SHARED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3939.0,0.0,3939.0
SCHOOLBUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,0.0,548664.0,282372.0,53315.0,3314.0,16805.0,354.0,865.0,257.0,2145.0,8108.0,5188.0,0.0,921387.0
