grouped_linked_trip_mode,DRIVEALONE,SHARED2,SHARED3,WALK,BIKE,WALK-TRANSIT,PNR-TRANSIT,KNR-TRANSIT,TNC-TRANSIT,TAXI,TNC-REG,TNC-SHARED,SCHOOLBUS,All
DRIVEALONE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHARED2,0.0,762456.0,34633.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,797089.0
SHARED3,0.0,0.0,237570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237570.0
WALK,0.0,2045.0,2131.0,35797.0,0.0,516.0,0.0,0.0,0.0,0.0,0.0,241.0,0.0,40730.0
BIKE,0.0,0.0,0.0,0.0,2671.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2671.0
WALK-TRANSIT,0.0,0.0,0.0,0.0,0.0,9864.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9864.0
PNR-TRANSIT,0.0,0.0,0.0,0.0,0.0,0.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0
KNR-TRANSIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.0,0.0,0.0,0.0,0.0,0.0,335.0
TNC-TRANSIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0,116.0
TAXI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,772.0,0.0,0.0,0.0,772.0
TNC-REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNC-SHARED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,567.0,0.0,567.0
SCHOOLBUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,0.0,764501.0,274334.0,35797.0,2671.0,10380.0,218.0,335.0,116.0,772.0,0.0,808.0,0.0,1089932.0
