grouped_linked_trip_mode,DRIVEALONE,SHARED2,SHARED3,WALK,BIKE,WALK-TRANSIT,PNR-TRANSIT,KNR-TRANSIT,TNC-TRANSIT,TAXI,TNC-REG,TNC-SHARED,SCHOOLBUS,All
DRIVEALONE,13144014.0,2230223.0,890998.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16265235.0
SHARED2,0.0,5761210.0,1042017.0,0.0,0.0,0.0,0.0,0.0,0.0,23389.0,13527.0,7648.0,112071.0,6959862.0
SHARED3,0.0,0.0,4019304.0,0.0,0.0,0.0,0.0,0.0,0.0,7866.0,9395.0,1976.0,101340.0,4139881.0
WALK,177344.0,165901.0,141403.0,2600302.0,0.0,318652.0,0.0,0.0,0.0,6380.0,52377.0,18249.0,32468.0,3513076.0
BIKE,0.0,0.0,0.0,0.0,376849.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376849.0
WALK-TRANSIT,0.0,0.0,0.0,0.0,0.0,1126798.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1126798.0
PNR-TRANSIT,0.0,0.0,0.0,0.0,0.0,0.0,213770.0,0.0,0.0,0.0,0.0,0.0,0.0,213770.0
KNR-TRANSIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106038.0,0.0,0.0,0.0,0.0,0.0,106038.0
TNC-TRANSIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17758.0,0.0,0.0,0.0,0.0,17758.0
TAXI,0.0,0.0,0.0,0.0,0.0,10467.0,462.0,945.0,1805.0,99210.0,8998.0,936.0,2784.0,125608.0
TNC-REG,0.0,0.0,0.0,0.0,0.0,23931.0,406.0,1583.0,2887.0,0.0,117159.0,21985.0,0.0,167952.0
TNC-SHARED,0.0,0.0,0.0,0.0,0.0,13166.0,60.0,3113.0,0.0,0.0,0.0,62749.0,0.0,79088.0
SCHOOLBUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,743451.0,743451.0
All,13321358.0,8157334.0,6093722.0,2600302.0,376849.0,1493014.0,214698.0,111679.0,22450.0,136845.0,201456.0,113543.0,992114.0,33835364.0
