grouped_linked_trip_mode,DRIVEALONE,SHARED2,SHARED3,WALK,BIKE,WALK-TRANSIT,PNR-TRANSIT,KNR-TRANSIT,TNC-TRANSIT,TAXI,TNC-REG,TNC-SHARED,SCHOOLBUS,All
DRIVEALONE,85243.0,34740.0,9274.0,0.0,389.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24900.0,154546.0
SHARED2,0.0,367326.0,155999.0,0.0,8631.0,0.0,0.0,0.0,0.0,4420.0,74.0,0.0,105825.0,642275.0
SHARED3,0.0,0.0,760580.0,0.0,907.0,0.0,0.0,0.0,0.0,1528.0,1521.0,0.0,101340.0,865876.0
WALK,1387.0,36695.0,53023.0,306821.0,0.0,6336.0,0.0,0.0,0.0,1105.0,433.0,0.0,32468.0,438268.0
BIKE,0.0,0.0,0.0,0.0,30132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30132.0
WALK-TRANSIT,0.0,0.0,0.0,0.0,0.0,41587.0,0.0,0.0,0.0,0.0,0.0,0.0,1201.0,42788.0
PNR-TRANSIT,0.0,0.0,0.0,0.0,0.0,0.0,877.0,0.0,0.0,0.0,0.0,0.0,0.0,877.0
KNR-TRANSIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5204.0,0.0,0.0,0.0,0.0,346.0,5550.0
TNC-TRANSIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.0,0.0,0.0,0.0,0.0,343.0
TAXI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4924.0,0.0,0.0,2784.0,7708.0
TNC-REG,0.0,0.0,0.0,0.0,0.0,54.0,0.0,341.0,0.0,0.0,3945.0,0.0,0.0,4340.0
TNC-SHARED,0.0,0.0,0.0,0.0,0.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.0
SCHOOLBUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,745454.0,745454.0
All,86630.0,438761.0,978876.0,306821.0,40059.0,48303.0,877.0,5545.0,343.0,11977.0,5973.0,0.0,1014318.0,2938483.0
