grouped_linked_trip_mode,DRIVEALONE,SHARED2,SHARED3,WALK,BIKE,WALK-TRANSIT,PNR-TRANSIT,KNR-TRANSIT,TNC-TRANSIT,TAXI,TNC-REG,TNC-SHARED,SCHOOLBUS,All
DRIVEALONE,13155861.0,2224987.0,884386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16265234.0
SHARED2,0.0,5765839.0,1042072.0,0.0,0.0,0.0,0.0,0.0,0.0,23389.0,14060.0,7648.0,105825.0,6958833.0
SHARED3,0.0,0.0,4019630.0,0.0,0.0,0.0,0.0,0.0,0.0,7866.0,9395.0,1976.0,101340.0,4140207.0
WALK,170419.0,164878.0,139236.0,2615995.0,0.0,285831.0,0.0,0.0,0.0,6379.0,52909.0,18249.0,32468.0,3486364.0
BIKE,0.0,0.0,0.0,0.0,376850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376850.0
WALK-TRANSIT,0.0,0.0,0.0,0.0,0.0,994765.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,994765.0
PNR-TRANSIT,0.0,0.0,0.0,0.0,0.0,0.0,194779.0,0.0,0.0,0.0,0.0,0.0,0.0,194779.0
KNR-TRANSIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93446.0,0.0,0.0,0.0,0.0,0.0,93446.0
TNC-TRANSIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15413.0,0.0,0.0,0.0,0.0,15413.0
TAXI,0.0,0.0,0.0,0.0,0.0,8100.0,345.0,673.0,1124.0,99600.0,8998.0,936.0,2784.0,122560.0
TNC-REG,0.0,0.0,0.0,0.0,0.0,18658.0,1218.0,2272.0,1959.0,0.0,117689.0,21985.0,0.0,163781.0
TNC-SHARED,0.0,0.0,0.0,0.0,0.0,11260.0,62.0,2326.0,0.0,0.0,0.0,62749.0,0.0,76397.0
SCHOOLBUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,743451.0,743451.0
All,13326280.0,8155704.0,6085324.0,2615995.0,376850.0,1318614.0,196405.0,98716.0,18496.0,137234.0,203051.0,113543.0,985868.0,33632080.0
