grouped_linked_trip_mode,DRIVEALONE,SHARED2,SHARED3,WALK,BIKE,WALK-TRANSIT,PNR-TRANSIT,KNR-TRANSIT,TNC-TRANSIT,TAXI,TNC-REG,TNC-SHARED,SCHOOLBUS,All
DRIVEALONE,721503.0,15414.0,2577.0,0.0,113.0,0.0,0.0,0.0,0.0,195.0,0.0,0.0,0.0,739802.0
SHARED2,0.0,99707.0,2733.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,0.0,0.0,102553.0
SHARED3,0.0,0.0,52264.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,0.0,0.0,0.0,52490.0
WALK,3358.0,369.0,73.0,306771.0,0.0,3553.0,0.0,0.0,0.0,1515.0,289.0,0.0,0.0,315928.0
BIKE,0.0,0.0,0.0,0.0,10472.0,875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11347.0
WALK-TRANSIT,0.0,0.0,0.0,0.0,0.0,22226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22226.0
PNR-TRANSIT,0.0,0.0,0.0,0.0,0.0,0.0,4805.0,0.0,0.0,0.0,0.0,0.0,0.0,4805.0
KNR-TRANSIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1742.0,0.0,0.0,0.0,0.0,0.0,1742.0
TNC-TRANSIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,671.0,0.0,0.0,0.0,0.0,671.0
TAXI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7131.0,189.0,0.0,0.0,7320.0
TNC-REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1211.0,0.0,0.0,1211.0
TNC-SHARED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2100.0,0.0,2100.0
SCHOOLBUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,724861.0,115490.0,57647.0,306771.0,10585.0,26654.0,4805.0,1742.0,671.0,9180.0,1689.0,2100.0,0.0,1262195.0
