grouped_linked_trip_mode,DRIVEALONE,SHARED2,SHARED3,WALK,BIKE,WALK-TRANSIT,PNR-TRANSIT,KNR-TRANSIT,TNC-TRANSIT,TAXI,TNC-REG,TNC-SHARED,SCHOOLBUS,All
DRIVEALONE,5072804.0,770984.0,368889.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6212677.0
SHARED2,0.0,958432.0,133675.0,0.0,0.0,0.0,0.0,0.0,0.0,1182.0,4757.0,1634.0,0.0,1099680.0
SHARED3,0.0,0.0,419894.0,0.0,0.0,0.0,0.0,0.0,0.0,293.0,3251.0,214.0,0.0,423652.0
WALK,48948.0,31938.0,19776.0,163838.0,0.0,187300.0,0.0,0.0,0.0,955.0,15685.0,7939.0,0.0,476379.0
BIKE,0.0,0.0,0.0,0.0,101821.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101821.0
WALK-TRANSIT,0.0,0.0,0.0,0.0,0.0,688002.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,688002.0
PNR-TRANSIT,0.0,0.0,0.0,0.0,0.0,0.0,189041.0,0.0,0.0,0.0,0.0,0.0,0.0,189041.0
KNR-TRANSIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74916.0,0.0,0.0,0.0,0.0,0.0,74916.0
TNC-TRANSIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11282.0,0.0,0.0,0.0,0.0,11282.0
TAXI,0.0,0.0,0.0,0.0,0.0,7410.0,440.0,863.0,1719.0,11663.0,779.0,0.0,0.0,22875.0
TNC-REG,0.0,0.0,0.0,0.0,0.0,15739.0,88.0,620.0,2630.0,0.0,28367.0,2474.0,0.0,49918.0
TNC-SHARED,0.0,0.0,0.0,0.0,0.0,8575.0,0.0,2538.0,0.0,0.0,0.0,15995.0,0.0,27109.0
SCHOOLBUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,5121752.0,1761354.0,942234.0,163838.0,101821.0,907027.0,189569.0,78937.0,15631.0,14093.0,52839.0,28256.0,0.0,9377351.0
