grouped_linked_trip_mode,grouped_tour_mode,trips,purpose
DRIVEALONE,DRIVEALONE,13144014.0,Total
SHARED2,DRIVEALONE,0.0,Total
SHARED3,DRIVEALONE,0.0,Total
WALK,DRIVEALONE,177343.0,Total
BIKE,DRIVEALONE,0.0,Total
WALK-TRANSIT,DRIVEALONE,0.0,Total
PNR-TRANSIT,DRIVEALONE,0.0,Total
KNR-TRANSIT,DRIVEALONE,0.0,Total
TNC-TRANSIT,DRIVEALONE,0.0,Total
TAXI,DRIVEALONE,0.0,Total
TNC-REG,DRIVEALONE,0.0,Total
TNC-SHARED,DRIVEALONE,0.0,Total
SCHOOLBUS,DRIVEALONE,0.0,Total
All,DRIVEALONE,13321357.0,Total
DRIVEALONE,SHARED2,2230223.0,Total
SHARED2,SHARED2,5761210.0,Total
SHARED3,SHARED2,0.0,Total
WALK,SHARED2,165901.0,Total
BIKE,SHARED2,0.0,Total
WALK-TRANSIT,SHARED2,0.0,Total
PNR-TRANSIT,SHARED2,0.0,Total
KNR-TRANSIT,SHARED2,0.0,Total
TNC-TRANSIT,SHARED2,0.0,Total
TAXI,SHARED2,0.0,Total
TNC-REG,SHARED2,0.0,Total
TNC-SHARED,SHARED2,0.0,Total
SCHOOLBUS,SHARED2,0.0,Total
All,SHARED2,8157334.0,Total
DRIVEALONE,SHARED3,890997.0,Total
SHARED2,SHARED3,1042016.0,Total
SHARED3,SHARED3,4019303.0,Total
WALK,SHARED3,141405.0,Total
BIKE,SHARED3,0.0,Total
WALK-TRANSIT,SHARED3,0.0,Total
PNR-TRANSIT,SHARED3,0.0,Total
KNR-TRANSIT,SHARED3,0.0,Total
TNC-TRANSIT,SHARED3,0.0,Total
TAXI,SHARED3,0.0,Total
TNC-REG,SHARED3,0.0,Total
TNC-SHARED,SHARED3,0.0,Total
SCHOOLBUS,SHARED3,0.0,Total
All,SHARED3,6093721.0,Total
DRIVEALONE,WALK,0.0,Total
SHARED2,WALK,0.0,Total
SHARED3,WALK,0.0,Total
WALK,WALK,2600302.0,Total
BIKE,WALK,0.0,Total
