id,purpose,freq_as0,freq_as1,freq_as2,freq_all
1,Total,26363.0,370812.0,4707731.0,5104906.0
1,atwork,2172.0,33789.0,330461.0,366422.0
1,idisc,7714.0,56648.0,986608.0,1050969.0
1,imain,9288.0,96502.0,1454487.0,1560277.0
1,jdisc,0.0,0.0,0.0,0.0
1,jmain,0.0,0.0,0.0,0.0
1,sch,0.0,5027.0,36302.0,41329.0
1,univ,0.0,6376.0,88524.0,94900.0
1,work,7189.0,172470.0,1811350.0,1991009.0
2,Total,46695.0,300823.0,2437184.0,2784702.0
2,atwork,1056.0,5869.0,44861.0,51786.0
2,idisc,12991.0,48890.0,412069.0,473950.0
2,imain,25813.0,87005.0,949214.0,1062032.0
2,jdisc,0.0,21855.0,206324.0,228180.0
2,jmain,0.0,25832.0,227304.0,253136.0
2,sch,357.0,17653.0,166407.0,184416.0
2,univ,394.0,4416.0,30271.0,35081.0
2,work,6084.0,89303.0,400735.0,496122.0
3,Total,47837.0,225192.0,1820610.0,2093638.0
3,atwork,143.0,9110.0,19625.0,28878.0
3,idisc,13194.0,40505.0,371250.0,424949.0
3,imain,24826.0,91325.0,705938.0,822089.0
3,jdisc,1313.0,4665.0,99943.0,105921.0
3,jmain,0.0,3495.0,87703.0,91197.0
3,sch,4482.0,33781.0,345308.0,383571.0
3,univ,1253.0,1007.0,10039.0,12299.0
3,work,2625.0,41305.0,180805.0,224735.0
4,Total,251656.0,190854.0,797836.0,1240345.0
4,atwork,26785.0,34355.0,91225.0,152365.0
4,idisc,84003.0,57915.0,277749.0,419668.0
4,imain,91932.0,45849.0,249244.0,387025.0
4,jdisc,3118.0,4871.0,16494.0,24483.0
4,jmain,4753.0,3398.0,8034.0,16185.0
4,sch,10172.0,22692.0,118627.0,151491.0
4,univ,6155.0,2806.0,16245.0,25206.0
4,work,24737.0,18968.0,20218.0,63923.0
5,Total,36352.0,36831.0,85951.0,159134.0
5,atwork,1495.0,1505.0,2830.0,5830.0
5,idisc,9529.0,11463.0,28642.0,49634.0
5,imain,10754.0,9131.0,24716.0,44600.0
5,jdisc,166.0,0.0,1501.0,1667.0
5,jmain,87.0,201.0,947.0,1235.0
5,sch,3399.0,1713.0,10531.0,15644.0
5,univ,779.0,219.0,1240.0,2238.0
5,work,10144.0,12599.0,15543.0,38286.0
6,Total,157353.0,116933.0,175780.0,450066.0
6,atwork,3707.0,2428.0,4332.0,10467.0
6,idisc,15063.0,8842.0,15369.0,39274.0
6,imain,25615.0,9721.0,20567.0,55903.0
6,jdisc,1504.0,1553.0,1384.0,4441.0
6,jmain,1854.0,1233.0,1558.0,4645.0
6,sch,3143.0,5905.0,11102.0,20150.0
6,univ,14028.0,7499.0,13356.0,34884.0
6,work,92439.0,79752.0,108113.0,280303.0
7,Total,1964.0,8540.0,84200.0,94705.0
7,atwork,71.0,309.0,2023.0,2402.0
7,idisc,21.0,157.0,1324.0,1502.0
7,imain,110.0,163.0,1883.0,2156.0
7,jdisc,0.0,8.0,116.0,124.0
7,jmain,4.0,25.0,81.0,109.0
7,sch,3.0,44.0,392.0,439.0
7,univ,71.0,326.0,2008.0,2405.0
7,work,1685.0,7509.0,76374.0,85568.0
8,Total,5585.0,11020.0,28650.0,45255.0
8,atwork,104.0,159.0,607.0,871.0
8,idisc,689.0,705.0,744.0,2138.0
8,imain,667.0,545.0,2236.0,3449.0
8,jdisc,54.0,199.0,136.0,389.0
8,jmain,7.0,66.0,94.0,168.0
8,sch,117.0,599.0,2059.0,2775.0
8,univ,432.0,653.0,1729.0,2814.0
8,work,3514.0,8093.0,21044.0,32651.0
9,Total,2178.0,1554.0,3975.0,7707.0
9,atwork,64.0,108.0,163.0,335.0
9,idisc,223.0,177.0,304.0,704.0
9,imain,416.0,172.0,491.0,1079.0
9,jdisc,10.0,13.0,57.0,81.0
9,jmain,2.0,26.0,30.0,58.0
9,sch,38.0,6.0,128.0,171.0
9,univ,119.0,40.0,235.0,394.0
9,work,1307.0,1011.0,2566.0,4885.0
10,Total,15083.0,51056.0,364201.0,430340.0
10,atwork,0.0,0.0,0.0,0.0
10,idisc,0.0,0.0,0.0,0.0
10,imain,0.0,0.0,0.0,0.0
10,jdisc,0.0,0.0,0.0,0.0
10,jmain,0.0,0.0,0.0,0.0
10,sch,15083.0,51056.0,364201.0,430340.0
10,univ,0.0,0.0,0.0,0.0
10,work,0.0,0.0,0.0,0.0
11,Total,15755.0,11461.666666666666,30386.333333333332,57602.666666666664
11,atwork,188.66666666666666,1055.0,864.3333333333334,2108.0
11,idisc,3480.0,2134.3333333333335,11007.666666666666,16621.333333333332
11,imain,6962.333333333333,3614.3333333333335,11343.0,21919.666666666668
11,jdisc,511.6666666666667,395.0,998.6666666666666,1905.6666666666667
11,jmain,0.0,0.0,218.33333333333334,218.33333333333334
11,sch,39.666666666666664,554.3333333333334,1436.0,2030.0
11,univ,343.0,106.0,392.0,841.0
11,work,4230.666666666667,3602.3333333333335,4126.0,11959.0
