res_state_fips,res_county_fips,res_state_name,res_county_name,work_state_fips,work_county_fips,work_state_name,work_county_name,workers_N,error
17,001,Illinois,Adams County,013,121,Georgia,Fulton County,9,13
17,001,Illinois,Adams County,017,001,Illinois,Adams County,"29,207",598
17,001,Illinois,Adams County,017,009,Illinois,Brown County,549,118
17,001,Illinois,Adams County,017,011,Illinois,Bureau County,3,4
17,001,Illinois,Adams County,017,017,Illinois,Cass County,12,11
17,001,Illinois,Adams County,017,031,Illinois,Cook County,22,32
17,001,Illinois,Adams County,017,057,Illinois,Fulton County,8,12
17,001,Illinois,Adams County,017,067,Illinois,Hancock County,156,62
17,001,Illinois,Adams County,017,109,Illinois,McDonough County,30,27
17,001,Illinois,Adams County,017,113,Illinois,McLean County,11,17
17,001,Illinois,Adams County,017,115,Illinois,Macon County,6,10
17,001,Illinois,Adams County,017,119,Illinois,Madison County,2,4
17,001,Illinois,Adams County,017,133,Illinois,Monroe County,17,25
17,001,Illinois,Adams County,017,143,Illinois,Peoria County,30,38
17,001,Illinois,Adams County,017,149,Illinois,Pike County,246,105
17,001,Illinois,Adams County,017,167,Illinois,Sangamon County,10,14
17,001,Illinois,Adams County,017,169,Illinois,Schuyler County,18,14
17,001,Illinois,Adams County,017,175,Illinois,Stark County,2,3
17,001,Illinois,Adams County,017,195,Illinois,Whiteside County,2,3
17,001,Illinois,Adams County,017,197,Illinois,Will County,2,4
17,001,Illinois,Adams County,018,053,Indiana,Grant County,18,30
17,001,Illinois,Adams County,018,059,Indiana,Hancock County,13,19
17,001,Illinois,Adams County,018,073,Indiana,Jasper County,2,3
17,001,Illinois,Adams County,018,097,Indiana,Marion County,51,55
17,001,Illinois,Adams County,019,013,Iowa,Black Hawk County,8,13
17,001,Illinois,Adams County,019,057,Iowa,Des Moines County,2,4
17,001,Illinois,Adams County,019,087,Iowa,Henry County,1,4
17,001,Illinois,Adams County,019,101,Iowa,Jefferson County,9,11
17,001,Illinois,Adams County,019,111,Iowa,Lee County,143,69
17,001,Illinois,Adams County,019,153,Iowa,Polk County,6,8
17,001,Illinois,Adams County,019,163,Iowa,Scott County,10,14
17,001,Illinois,Adams County,027,131,Minnesota,Rice County,2,3
17,001,Illinois,Adams County,029,007,Missouri,Audrain County,3,4
17,001,Illinois,Adams County,029,077,Missouri,Greene County,12,21
17,001,Illinois,Adams County,029,111,Missouri,Lewis County,99,63
17,001,Illinois,Adams County,029,127,Missouri,Marion County,"1,036",197
17,001,Illinois,Adams County,029,163,Missouri,Pike County,80,63
17,001,Illinois,Adams County,029,165,Missouri,Platte County,16,27
17,001,Illinois,Adams County,029,173,Missouri,Ralls County,32,27
17,001,Illinois,Adams County,029,183,Missouri,St. Charles County,25,29
17,001,Illinois,Adams County,029,189,Missouri,St. Louis County,2,3
17,001,Illinois,Adams County,029,510,Missouri,St. Louis city,12,18
17,001,Illinois,Adams County,030,111,Montana,Yellowstone County,22,29
17,001,Illinois,Adams County,037,063,North Carolina,Durham County,13,19
17,001,Illinois,Adams County,039,035,Ohio,Cuyahoga County,5,10
17,001,Illinois,Adams County,048,215,Texas,Hidalgo County,7,11
17,001,Illinois,Adams County,055,059,Wisconsin,Kenosha County,2,3
17,001,Illinois,Adams County,055,079,Wisconsin,Milwaukee County,17,28
17,003,Illinois,Alexander County,005,057,Arkansas,Hempstead County,4,7
17,003,Illinois,Alexander County,017,003,Illinois,Alexander County,939,148
17,003,Illinois,Alexander County,017,043,Illinois,DuPage County,12,18
17,003,Illinois,Alexander County,017,061,Illinois,Greene County,10,12
17,003,Illinois,Alexander County,017,077,Illinois,Jackson County,77,65
17,003,Illinois,Alexander County,017,087,Illinois,Johnson County,40,22
17,003,Illinois,Alexander County,017,119,Illinois,Madison County,1,4
17,003,Illinois,Alexander County,017,127,Illinois,Massac County,19,26
17,003,Illinois,Alexander County,017,153,Illinois,Pulaski County,107,43
17,003,Illinois,Alexander County,017,163,Illinois,St. Clair County,2,3
17,003,Illinois,Alexander County,017,181,Illinois,Union County,135,40
17,003,Illinois,Alexander County,017,199,Illinois,Williamson County,71,46
17,003,Illinois,Alexander County,021,007,Kentucky,Ballard County,54,39
17,003,Illinois,Alexander County,021,145,Kentucky,McCracken County,41,45
17,003,Illinois,Alexander County,029,031,Missouri,Cape Girardeau County,660,121
17,003,Illinois,Alexander County,029,095,Missouri,Jackson County,5,7
17,003,Illinois,Alexander County,029,133,Missouri,Mississippi County,50,43
17,003,Illinois,Alexander County,029,143,Missouri,New Madrid County,6,10
17,003,Illinois,Alexander County,029,157,Missouri,Perry County,13,16
17,003,Illinois,Alexander County,029,201,Missouri,Scott County,118,52
17,003,Illinois,Alexander County,029,207,Missouri,Stoddard County,2,3
17,003,Illinois,Alexander County,047,157,Tennessee,Shelby County,5,9
17,003,Illinois,Alexander County,048,037,Texas,Bowie County,1,2
17,005,Illinois,Bond County,006,017,California,El Dorado County,23,34
17,005,Illinois,Bond County,017,005,Illinois,Bond County,"4,049",454
17,005,Illinois,Bond County,017,021,Illinois,Christian County,1,4
17,005,Illinois,Bond County,017,027,Illinois,Clinton County,336,94
17,005,Illinois,Bond County,017,043,Illinois,DuPage County,23,38
17,005,Illinois,Bond County,017,049,Illinois,Effingham County,24,24
17,005,Illinois,Bond County,017,051,Illinois,Fayette County,538,167
17,005,Illinois,Bond County,017,079,Illinois,Jasper County,11,11
17,005,Illinois,Bond County,017,081,Illinois,Jefferson County,23,27
17,005,Illinois,Bond County,017,089,Illinois,Kane County,6,11
17,005,Illinois,Bond County,017,115,Illinois,Macon County,9,9
17,005,Illinois,Bond County,017,117,Illinois,Macoupin County,58,35
17,005,Illinois,Bond County,017,119,Illinois,Madison County,"1,268",196
17,005,Illinois,Bond County,017,121,Illinois,Marion County,26,29
17,005,Illinois,Bond County,017,135,Illinois,Montgomery County,300,151
17,005,Illinois,Bond County,017,143,Illinois,Peoria County,6,12
17,005,Illinois,Bond County,017,163,Illinois,St. Clair County,292,98
17,005,Illinois,Bond County,017,167,Illinois,Sangamon County,24,26
17,005,Illinois,Bond County,017,189,Illinois,Washington County,11,15
