STATEFP,COUNTYFP,TRACTCE,PUMA5CE
01,001,020100,02100
01,001,020200,02100
01,001,020300,02100
01,001,020400,02100
01,001,020500,02100
01,001,020600,02100
01,001,020700,02100
01,001,020801,02100
01,001,020802,02100
01,001,020900,02100
01,001,021000,02100
01,001,021100,02100
01,003,010100,02600
01,003,010200,02600
01,003,010300,02600
01,003,010400,02600
01,003,010500,02600
01,003,010600,02600
01,003,010701,02600
01,003,010703,02600
01,003,010704,02600
01,003,010705,02600
01,003,010800,02600
01,003,010903,02600
01,003,010904,02600
01,003,010905,02600
01,003,010906,02600
01,003,011000,02600
01,003,011101,02600
01,003,011102,02600
01,003,011201,02600
01,003,011202,02600
01,003,011300,02600
01,003,011401,02600
01,003,011403,02600
01,003,011405,02600
01,003,011406,02600
01,003,011407,02600
01,003,011408,02600
01,003,011501,02600
01,003,011502,02600
01,003,011601,02600
01,003,011602,02600
01,003,990000,02600
01,005,950100,02400
01,005,950200,02400
01,005,950300,02400
01,005,950400,02400
01,005,950500,02400
01,005,950600,02400
01,005,950700,02400
01,005,950800,02400
01,005,950900,02400
01,007,010001,01700
01,007,010002,01700
01,007,010003,01700
01,007,010004,01700
01,009,050101,00800
01,009,050102,00800
01,009,050200,00800
01,009,050300,00800
01,009,050400,00800
01,009,050500,00800
01,009,050601,00800
01,009,050602,00800
01,009,050700,00800
01,011,952100,02400
01,011,952200,02400
01,011,952500,02400
01,013,952700,02300
01,013,952800,02300
01,013,952900,02300
01,013,953000,02300
01,013,953100,02300
01,013,953200,02300
01,013,953300,02300
01,013,953400,02300
01,013,953500,02300
01,015,000200,01100
01,015,000300,01100
01,015,000400,01100
01,015,000500,01100
01,015,000600,01100
01,015,000700,01100
01,015,000800,01100
01,015,000900,01100
01,015,001000,01100
01,015,001100,01100
01,015,001201,01100
01,015,001202,01100
01,015,001300,01100
01,015,001400,01100
01,015,001500,01100
01,015,001600,01100
01,015,001700,01100
01,015,001800,01100
01,015,002000,01100
01,015,002101,01100
01,015,002102,01100
01,015,002103,01100
01,015,002200,01100
01,015,002300,01100
01,015,002400,01100
01,015,002501,01100
01,015,002502,01100
01,015,002600,01100
01,015,981901,01100
01,015,981902,01100
01,015,981903,01100
01,017,953800,01800
01,017,953900,01800
01,017,954000,01800
01,017,954200,01800
